LEAID,lea_name,urbanicity
400135,Challenge School Inc. (6362),Non-Urban
400141,Discovery Plus Academy (6357),Non-Urban
400144,CPLC Community Schools (4300),Non-Urban
400145,Gem Charter School Inc. (6372),Non-Urban
400147,Ha:san Educational Services (6369),Non-Urban
400149,Kaizen Education Foundation dba El Dorado High Sch (4342),Non-Urban
400150,Mexicayotl Academy Inc. (4463),Non-Urban
400151,New Horizon School for the Performing Arts (4366),Non-Urban
400153,Phoenix School of Academic Excellence The (6379),Non-Urban
400154,Shonto Governing Board of Education Inc. (6353),Non-Urban
400157,Edkey Inc. - Sequoia Choice Schools (4329),Non-Urban
400159,Tucson Preparatory School (6374),Non-Urban
400163,Coconino County Accommodation School District (10386),Non-Urban
400165,Keystone Montessori Charter School Inc. (10878),Non-Urban
400181,Benchmark School Inc. (10972),Non-Urban
400182,Cambridge Academy  East  Inc (78888),Non-Urban
400184,Ball Charter Schools (Dobson) (79204),Non-Urban
400185,Phoenix Education Management LLC (4340),Non-Urban
400187,Stepping Stones Academy (10966),Non-Urban
400190,Liberty Traditional Charter School (10968),Non-Urban
400191,Fit Kids Inc. dba Champion Schools (78783),Non-Urban
400197,Northern Arizona Vocational Institute of Technolog (78786),Non-Urban
400201,Pima County (4420),Non-Urban
400202,Academy of Tucson Inc. (78897),Non-Urban
400204,Mountain Rose Academy Inc. (10879),Non-Urban
400205,Great Expectations Academy (10974),Non-Urban
400208,Mountain Oak Charter School Inc. (78873),Non-Urban
400210,Painted Pony Ranch Charter School (10967),Non-Urban
400211,Mary Ellen Halvorson Educational Foundation. dba:  (10965),Non-Urban
400212,Benson Unified School District (79226),Urban
400213,Painted Desert Demonstration Projects Inc. (79086),Non-Urban
400217,Little Lamb Community School (79050),Non-Urban
400218,American Basic Schools LLC (79215),Non-Urban
400219,Career Success Schools (79047),Non-Urban
400221,Kaizen Education Foundation dba South Pointe Eleme (79233),Non-Urban
400223,Daisy Education Corporation dba Sonoran Science Ac (79049),Non-Urban
400225,Horizon Community Learning Center Inc. (79264),Non-Urban
400227,Kaizen Education Foundation dba South Pointe Junio (78965),Non-Urban
400229,Milestones Charter School (79207),Non-Urban
400230,Pathfinder Charter School Foundation (79024),Non-Urban
400231,James Madison Preparatory School (79063),Non-Urban
400232,Self Development Charter School (79072),Non-Urban
400235,Excalibur Charter Schools Inc. (79214),Non-Urban
400238,Metropolitan Arts Institute Inc. (5181),Non-Urban
400239,P.L.C. Charter Schools (6235),Non-Urban
400241,Paragon Management Inc. (5180),Non-Urban
400243,Skyline Schools Inc. (79084),Non-Urban
400244,Edkey Inc. - Sequoia Charter School (6446),Non-Urban
400246,Edkey Inc. - Sequoia Village School (79211),Non-Urban
400248,Telesis Center for Learning Inc. (79218),Non-Urban
400254,Southern Arizona Community Academy Inc. (79000),Non-Urban
400255,Tucson Country Day School Inc. (79073),Non-Urban
400258,Carden of Tucson Inc. (78858),Non-Urban
400259,Southgate Academy Inc. (79085),Non-Urban
400261,Eastpointe High School Inc. (78833),Non-Urban
400263,Patagonia Montessori Elementary School (79069),Non-Urban
400264,Santa Cruz Valley Opportunities in Education Inc. (79066),Non-Urban
400266,PACE Preparatory Academy Inc. (79068),Non-Urban
400267,Kestrel Schools Inc. (79065),Non-Urban
400268,Juniper Tree Academy (79064),Non-Urban
400273,GAR LLC dba Student Choice High School (78997),Non-Urban
400274,AIBT Non-Profit Charter High School - Phoenix (79053),Non-Urban
400275,Highland Free School (79061),Non-Urban
400276,Academy with Community Partners  Inc (79213),Non-Urban
400278,Deer Valley Charter Schools Inc. (79496),Non-Urban
400279,West Gilbert Charter Elementary School Inc. (79497),Non-Urban
400280,Mohave Accelerated Learning Center (79498),Non-Urban
400281,Masada Charter School Inc. (79499),Non-Urban
400282,Harvest Power Community Development Group Inc. (79501),Non-Urban
400284,Omega Alpha Academy (79503),Non-Urban
400288,Premier Charter High School (79569),Non-Urban
400290,Pan-American Elementary Charter (79578),Non-Urban
400295,Kingman Unified School District (79598),Urban
400303,North Star Charter School Inc. (79701),Non-Urban
400310,Calibre Academy (79055),Non-Urban
400311,E-Institute Charter Schools Inc. (79059),Non-Urban
400315,Yavapai Accommodation School District (79379),Non-Urban
400316,Cobre Valley Institute of Technology District (79391),Non-Urban
400317,Khalsa Family Services (79420),Non-Urban
400318,Aprender Tucson (79426),Non-Urban
400320,Acorn Montessori Charter School (79437),Non-Urban
400321,Pinnacle Education-WMCB Inc. (79439),Non-Urban
400322,Desert Rose AcademyInc. (79441),Non-Urban
400323,Crown Charter School Inc (79443),Non-Urban
400326,Success School (79453),Non-Urban
400327,Pointe Schools (79455),Non-Urban
400329,American Virtual Academy (79461),Non-Urban
400330,Compass High School Inc. (79467),Non-Urban
400332,James Sandoval Preparatory High School (79475),Non-Urban
400339,Destiny School Inc. (6258),Non-Urban
400340,Noah Webster Schools - Mesa (10760),Non-Urban
400341,Valley Academy for Career and Technology Education (79397),Non-Urban
400343,Griffin Foundation Inc. The (79500),Non-Urban
400345,Cochise Technology District (79403),Non-Urban
400347,Coconino Association for Vocation Industry and Tec (79381),Non-Urban
400348,Central Arizona Valley Institute of Technology (79385),Non-Urban
400349,Gila Institute for Technology (79387),Non-Urban
400351,Kaizen Education Foundation dba Vista Grove Prepar (79871),Non-Urban
400352,American Charter Schools Foundation d.b.a. Estrell (79873),Non-Urban
400353,American Charter Schools Foundation d.b.a. Peoria  (79875),Non-Urban
400354,American Charter Schools Foundation d.b.a. Sun Val (79877),Non-Urban
400355,American Charter Schools Foundation d.b.a. West Ph (79879),Non-Urban
400356,Nosotros Inc (79881),Non-Urban
400357,American Charter Schools Foundation d.b.a. Apache  (79883),Non-Urban
400359,Challenger Basic School Inc. (79886),Non-Urban
400361,Arizona Community Development Corporation (79947),Non-Urban
400363,SC Jensen Corporation Inc. dba Intelli-School (79951),Non-Urban
400364,PAS Charter Inc. dba Intelli-School (79953),Non-Urban
400366,Valley of the Sun Waldorf Education Association d (79957),Non-Urban
400367,Pima Prevention Partnership dba Pima Partnership S (79959),Non-Urban
400368,Academy of Mathematics and Science Inc. (79961),Non-Urban
400370,Midtown Primary School (79994),Non-Urban
400373,Tucson International Academy Inc. (79979),Non-Urban
400374,Bell Canyon Charter School Inc (79983),Non-Urban
400376,Cortez Park Charter Middle School Inc. (79988),Non-Urban
400377,West Gilbert Charter Middle School Inc. (79990),Non-Urban
400381,Carpe Diem Collegiate High School (80001),Non-Urban
400382,CPLC Community Schools dba Toltecalli High School (80032),Non-Urban
400384,American Charter Schools Foundation d.b.a. Desert  (79872),Non-Urban
400385,American Charter Schools Foundation d.b.a. Crestvi (79874),Non-Urban
400386,Kaizen Education Foundation dba Summit High School (79876),Non-Urban
400387,Kaizen Education Foundation dba Tempe Accelerated  (79878),Non-Urban
400388,Kaizen Education Foundation dba Skyview High Schoo (79880),Non-Urban
400389,Kaizen Education Foundation dba Maya High School (79882),Non-Urban
400390,Camelback Education Inc (79905),Non-Urban
400391,Vista Charter School (79907),Non-Urban
400394,Avondale Learning dba Precision Academy (79929),Non-Urban
400395,LEAD Charter Schools (79967),Non-Urban
400397,CAFA Inc. dba Learning Foundation Performing Arts (79971),Non-Urban
400399,Montessori Academy Inc. (80011),Non-Urban
400401,New World Educational Center (78882),Non-Urban
400402,Cholla Academy (5186),Non-Urban
400403,Akimel O Otham Pee Posh Charter School Inc. (5978),Non-Urban
400404,Akimel O'Otham Pee Posh Charter School Inc. (78966),Non-Urban
400405,Cornerstone Charter SchoolInc (79077),Non-Urban
400406,Happy Valley School Inc. (79081),Non-Urban
400407,CITY Center for Collaborative Learning (85448),Non-Urban
400409,Satori Inc. (85454),Non-Urban
400413,Mohave Accelerated Elementary School Inc. (85516),Non-Urban
400414,Academy of Building Industries Inc. (85540),Non-Urban
400415,Edkey Inc. (85749),Non-Urban
400417,Arizona Agribusiness & Equine Center Inc. (85816),Non-Urban
400419,Gila County Regional School District (87600),Non-Urban
400420,Pillar Charter School (87334),Non-Urban
400423,Legacy Education Group (87349),Non-Urban
400424,Rosefield Charter Elementary School Inc. (87399),Non-Urban
400425,East Mesa Charter Elementary School Inc. (87401),Non-Urban
400427,Arizona Connections Academy Charter School Inc. (87407),Non-Urban
400429,Country Gardens Charter Schools (79074),Non-Urban
400432,Portable Practical Educational Preparation Inc. ( (87405),Non-Urban
400438,Imagine Charter Elementary at Desert West Inc. (88367),Non-Urban
400439,Desert Star Community School Inc. (88321),Non-Urban
400440,Chandler Preparatory Academy (88299),Non-Urban
400441,Imagine Middle at Surprise Inc. (88372),Non-Urban
400442,Imagine Middle at East Mesa Inc. (88369),Non-Urban
400444,Prescott Valley Charter School (88317),Non-Urban
400445,Imagine Charter Elementary at Camelback Inc. (88365),Non-Urban
400447,American Charter Schools Foundation d.b.a. South R (88334),Non-Urban
400448,Desert Sky Community School Inc. (88308),Non-Urban
400450,Agua Fria Union High School District (4289),Urban
400463,Arizona State Schools for the Deaf and the Blind (6393),Non-Urban
400480,Aguila Elementary District (4249),Urban
400520,Ajo Unified District (4409),Urban
400600,Alhambra Elementary District (4280),Urban
400608,BASIS Charter Schools Inc. (81078),Non-Urban
400610,Desert Heights Charter Schools (81099),Non-Urban
400612,Northeast Arizona Technological Institute of Vocat (81114),Non-Urban
400613,Educational Impact Inc. (81123),Non-Urban
400614,MCCCD on behalf of Phoenix College Preparatory Aca (81174),Non-Urban
400615,West-MEC - Western Maricopa Education Center (80923),Non-Urban
400616,New School for the Arts Middle School (80985),Non-Urban
400618,American Charter Schools Foundation d.b.a. South P (80989),Non-Urban
400619,American Charter Schools Foundation d.b.a. Alta Vi (80995),Non-Urban
